,Cycle,State,Avg Annual Income,Avg Mortgage,Avg Age,Avg Household Income,% of With Foodstamps,% Without Foodstamps,%Females,%Males,% Widowed,% Never Married,% Married Spouse Present,% Divorced,% Seperated,% Married Spouse Absent,% White,% Black,% Other Race,% Two major Races,% Japanese,% Other Asian,% Native Indian or Alaska,% Chinese,% Three or More Races,% Citizen,% Non-Citizen,% Naturalized Citizen,% Speak_English ,% Other_Language,% Bachelor Degree,% Lower Education,% Masters or Professional Certificate,% Doctoral Degree,% Employed,% Self_Employed,% Unemployed
1528,2008,DE,22523.9,591.8,47.0,44879.5,90.6,9.4,53.4,46.6,9.5,17.4,56.4,12.4,2.6,1.8,77.0,20.0,0.6,1.0,0.1,0.5,0.6,0.1,0.1,97.0,1.9,1.0,96.4,3.6,40.4,53.3,5.9,0.5,54.9,41.6,3.6
1529,2008,DE,27222.4,902.2,48.6,53308.6,94.2,5.8,52.5,47.5,8.3,12.1,63.4,13.2,1.3,1.6,91.1,6.5,0.4,0.5,0.0,0.6,0.5,0.1,0.2,97.1,1.3,1.6,97.1,2.9,51.8,39.3,8.4,0.5,54.1,43.5,2.4
1530,2008,DE,20951.6,551.7,47.1,39712.5,89.1,10.9,54.8,45.2,8.7,19.5,54.5,11.5,3.0,2.8,80.5,17.1,0.1,0.9,0.1,0.7,0.3,0.2,0.0,97.3,1.5,1.2,95.4,4.6,41.1,52.6,5.0,1.2,54.3,41.1,4.5
1531,2008,DE,24017.6,658.6,48.2,47650.0,94.2,5.8,54.6,45.4,10.5,13.8,60.9,11.7,1.5,1.6,85.5,11.6,0.0,1.6,0.0,0.7,0.2,0.1,0.2,98.6,0.9,0.5,98.0,2.0,45.3,46.6,7.9,0.2,50.3,46.8,2.9
1532,2008,DE,28109.5,812.4,47.2,54993.2,93.5,6.5,55.0,45.0,9.5,23.5,50.3,12.3,2.5,1.9,63.1,35.1,0.4,0.7,0.0,0.5,0.1,0.1,0.0,97.5,1.3,1.2,96.6,3.4,47.8,42.0,9.3,0.9,58.5,38.1,3.4
1533,2008,DE,24870.4,725.1,40.6,45575.0,92.4,7.6,52.1,47.9,4.9,32.1,51.2,8.3,1.7,2.0,75.2,21.0,0.3,0.6,0.1,1.7,0.3,0.8,0.2,94.4,4.1,1.5,93.2,6.8,53.3,32.2,10.8,3.7,59.8,36.3,3.8
1534,2008,DE,24039.4,680.1,46.3,47208.6,88.6,11.4,54.8,45.2,8.5,22.6,52.3,12.1,2.7,1.8,67.3,28.8,0.4,1.0,0.1,1.5,0.8,0.1,0.0,96.6,1.8,1.6,95.6,4.4,42.8,50.4,5.9,0.9,58.3,37.5,4.2
1535,2008,DC,37369.3,997.7,44.5,76499.6,96.2,3.8,52.5,47.5,4.9,16.4,68.4,9.0,0.6,0.8,89.9,6.8,0.8,1.0,0.1,0.7,0.3,0.2,0.1,95.1,4.0,0.9,95.0,5.0,56.2,30.5,12.1,1.2,67.9,29.7,2.4
1536,2008,DC,23463.3,747.7,43.1,45748.4,95.0,5.0,53.0,47.0,7.2,26.5,52.1,11.9,1.2,1.2,77.0,21.4,0.2,0.4,0.0,0.4,0.3,0.3,0.0,97.2,1.8,1.0,95.5,4.5,46.1,45.1,7.5,1.3,57.3,39.6,3.1
1537,2008,KS,28443.2,864.7,42.8,60503.4,86.3,13.7,47.0,53.0,4.5,27.0,51.8,11.5,1.8,3.5,62.9,0.8,0.8,4.7,0.3,2.6,27.8,0.0,0.0,95.1,2.4,2.5,79.6,20.4,48.1,45.0,6.2,0.8,63.7,29.8,6.4
1538,2008,KS,36608.6,1222.5,42.7,71102.6,95.7,4.3,51.2,48.8,3.1,25.8,54.0,12.7,1.8,2.5,73.7,4.8,1.5,5.4,0.2,7.8,5.9,0.6,0.1,88.6,4.0,7.5,85.9,14.1,56.4,32.8,9.5,1.2,70.9,25.7,3.4
